,Tweets,Subjectivity,Polarity,Analysis
45,"   Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",0.5333333333333333,-0.4999999999999999,Negative
46," When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",0.875,0.375,Positive
47, Agreed,0.0,0.0,Neutral
48,"Vox Populi, Vox Dei",0.0,0.0,Neutral
49,Reinstate former President Trump,0.0,0.0,Neutral
50,   Too bad,0.6666666666666666,-0.6999999999999998,Negative
51,  DoJ Antitrust ,0.0,0.0,Neutral
52," App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",0.4370833333333333,-0.032916666666666664,Negative
53,_com Kind of him to say. I look forward to meeting.,0.9,0.6,Positive
54, 🤣,0.0,0.0,Neutral
55,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,0.31666666666666665,0.65625,Positive
56, Exactly,0.25,0.25,Positive
57, Thanks Marc ❤️,0.2,0.2,Positive
58, No,0.0,0.0,Neutral
59,"Note, this applies just to the individual tweet, not the whole account",0.4,0.1,Positive
60, If only there had been a way … 🤣🤣,1.0,0.0,Neutral
61,"Kathie Griffin, Jorden Peterson &amp; Babylon Bee have been reinstated.

Trump decision has not yet been made.",0.0,0.0,Neutral
62,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",0.47651515151515156,0.0037878787878787845,Positive
63,Freedom Fridays …,0.0,0.0,Neutral
64, Jazz hands 🤗,0.0,0.0,Neutral
65,What should Twitter do next?,0.0,0.0,Neutral
66,_770 🤣,0.0,0.0,Neutral
67, You don’t say …,0.0,0.0,Neutral
68, Of course not ❤️,0.0,0.0,Neutral
69, 🥱,0.0,0.0,Neutral
70, I stand corrected!,0.0,0.0,Neutral
71,,0.0,0.0,Neutral
72,  ?,0.0,0.0,Neutral
73, You’re welcome,0.9,0.8,Positive
74," Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",0.43333333333333335,0.14166666666666666,Positive
75, Seriously,0.6666666666666666,-0.3333333333333333,Negative
76,,0.0,0.0,Neutral
77,,0.0,0.0,Neutral
78,🏴‍☠️,0.0,0.0,Neutral
79, 🤣,0.0,0.0,Neutral
80,Let that sink in …,0.0,0.0,Neutral
81,And … we just hit another all-time high in Twitter usage lol,0.6199999999999999,0.48000000000000004,Positive
82," The best people are staying, so I’m not super worried",0.4833333333333333,0.4166666666666667,Positive
83,"  Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … ",0.4,0.1,Positive
84, Thanks for helping out. You’re a lifesaver!,0.2,0.25,Positive
85, Thanks!,0.2,0.25,Positive
86,"How do you make a small fortune in social media?

Start out with a large one.",0.2984126984126984,-0.0007936507936508,Negative
87,_daniel  🤣,0.0,0.0,Neutral
88," The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",0.41666666666666663,0.2604166666666667,Positive
89,  Cybertruck is something special that comes along once in a long while,0.4857142857142857,0.15357142857142858,Positive
90," Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",0.5678571428571428,-0.11547619047619048,Negative
91, The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,0.1,0.0,Neutral
92, Ok,0.5,0.5,Positive
93, We’re working on something that should rank replies automatically,0.9,-0.8,Negative
94,Twitter is like open-sourcing the news,0.0,0.0,Neutral
95, Polycule 🔥🔥,0.0,0.0,Neutral
96, Probably,0.0,0.0,Neutral
97,_Daily Even TikTok is super dependent on ads,0.3333333333333333,0.16666666666666666,Positive
98,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",0.8166666666666667,0.5166666666666666,Positive
99,_daniel  I don’t wanna brag but … it’s true,0.65,0.35,Positive
