,Tweets,Subjectivity,Polarity,Analysis
66,"""I am completely committed to the triple lock and so is the chancellor""

UK PM Liz Truss commits to increasing pensions in line with inflation during PMQs

 ",0.4,0.1,Positive
67,"UK PM Liz Truss tells MPs she is committed to raising pensions in line with inflation, after No 10 fuelled speculation pledge would be dropped ",0.0,0.0,Neutral
68,"Up to 45 babies may have survived if they had received better care at East Kent NHS Hospitals Trust in the UK, review finds ",0.5,0.5,Positive
69,"Russia begins evacuation of key Ukrainian city of Kherson, seized during invasion, as Kyiv's forces counter-attack ",1.0,0.0,Neutral
70,"Cost of living in UK rises 10.1% in the 12 months to September 

Updates ",0.0,0.0,Neutral
71,"One of China's most senior diplomats in the UK was involved in violence against protesters in Manchester on Sunday, a British MP says ",0.25,0.25,Positive
72,"President Zelensky says 30% of Ukraine's power stations have been ""destroyed"" in the past eight days, as Russia steps up infrastructure attacks ",0.25,-0.25,Negative
73," Asked if she accepts that her policies since taking office have ""made it harder for people to pay their bills"", UK PM Liz Truss says ""we went too far and too fast"" 

 ",0.5333333333333333,0.06666666666666667,Positive
74,"""I will lead the Conservatives into the next general election""

UK PM Liz Truss says she's ""sticking around"", but wants to ""say sorry for the mistakes that have been made""

 ",0.4,-0.0625,Negative
75,"Military plane crashes in residential area of southern Russian town of Yeysk, with footage showing flames pouring from tower block ",0.03333333333333333,-0.03333333333333333,Negative
76,"Chancellor Jeremy Hunt confirms that all the tax measures announced in the growth plan three weeks ago that have not started parliamentary legislation will be reversed

 

",0.0,0.0,Neutral
77,"UK Chancellor Jeremy Hunt reverses almost all tax measures set out in mini-budget, leaving PM Liz Truss's original plan in tatters

",0.75,0.375,Positive
78,New UK Chancellor Jeremy Hunt to set out plans for tax and spending in a statement later today - two weeks earlier than expected ,0.3386363636363636,0.009090909090909087,Positive
79,"Kyiv has been attacked by kamikaze drones, Ukraine says, one week after widespread Russian strikes on the country ",0.0,0.0,Neutral
80,"Manchester United footballer Mason Greenwood charged with attempted rape, engaging in controlling behaviour and assault, CPS says ",0.7,0.4,Positive
81,"""We are not going to be able to cut taxes as quickly as we wanted to and some taxes will have to go up""

Chancellor says keeping the rises in interest rates as low as possible means ""we have to give certainty to markets"" over funding plans

 ",0.60625,0.20833333333333331,Positive
82,"UK Chancellor Jeremy Hunt tells BBC that some taxes will have to go up and he will ask all areas of government to find ""difficult"" savings
",1.0,-0.5,Negative
83,"Robbie Coltrane obituary: Actor who could be funny or serious, but always compelling ",0.7555555555555555,0.07222222222222223,Positive
84,"Actor Robbie Coltrane, who played Hagrid in the Harry Potter films, has died at 72 ",0.0,0.0,Neutral
85,"""The way we are delivering our mission right now has to change""

UK Prime Minister Liz Truss announces U-turn on corporation tax - she will keep the planned increase in order to ""reassure the markets of our fiscal discipline""

 ",0.5357142857142857,0.2857142857142857,Positive
86,"UK Prime Minister Liz Truss to keep increase in corporation tax in reversal of plan in mini-budget 

",0.0,0.0,Neutral
87,"UK Prime Minister Liz Truss about to hold press conference after sacking her chancellor, with another U-turn expected on the government's mini-budget",0.4,-0.1,Negative
88,"Jeremy Hunt appointed new UK chancellor, after Kwasi Kwarteng sacked by PM Liz Truss 

",0.45454545454545453,0.13636363636363635,Positive
89,"Kwasi Kwarteng confirms he was sacked as chancellor by UK Prime Minister Liz Truss 

",0.0,0.0,Neutral
90,"Kwasi Kwarteng out as UK chancellor after mini-budget sparked financial turmoil and revolt from Conservative MPs

",0.0,0.0,Neutral
91,"UK Prime Minister Liz Truss to hold news conference later today amid reports of U-turn over mini-budget tax measures

Latest ",0.45,0.25,Positive
92,"Royal Mail says it plans to make up to 6,000 people redundant by next August, blaming ongoing strikes and financial losses ",0.06666666666666667,-0.06666666666666667,Negative
93,The January 6 committee votes to compel Donald Trump to testify to Congress over riot where his supporters stormed US Capitol ,0.0,0.0,Neutral
94,"Russia says it will evacuate people from Kherson, a region it has partly occupied since early in the invasion, as Ukrainian forces advance ",0.3,0.1,Positive
95,Jury recommends life in prison for Parkland gunman who killed 17 people in 2018 attack on Marjory Stoneman Douglas High School in US ,0.26999999999999996,-0.020000000000000004,Negative
96,US conspiracy theorist Alex Jones ordered to pay victims' families $965m in damages after branding 2012 Sandy Hook school shooting a hoax ,0.0,0.0,Neutral
97,"Human remains found by police searching for Leah Croucher who went missing three years ago aged 19 in Milton Keynes, UK

",0.18333333333333335,-0.10000000000000002,Negative
98,"TikTok taking up to 70% of money donated to Syrian displaced families begging on the app, BBC investigation finds ",0.0,0.0,Neutral
99,"UK economy unexpectedly shrank in August, falling by 0.3%, official data shows ",1.0,0.1,Positive
